timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:19.930, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:19.932, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:21.056, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:21.058, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:21.060, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:21.061, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:21.063, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:21.068, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:21.070, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:21.072, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:22.212, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:22.213, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:22.215, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:22.224, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:22.237, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:22.239, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:22.241, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:22.243, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:23.389, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:23.390, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:23.391, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:23.404, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:23.405, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:23.406, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:23.407, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:23.408, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:24.540, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:24.541, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:24.542, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:24.543, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:24.544, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:24.545, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:24.546, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:24.546, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:25.661, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:25.662, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:25.663, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:25.664, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:25.665, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:25.666, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:25.667, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:25.668, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:26.788, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:26.789, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:26.790, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:26.791, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:26.792, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:26.793, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:26.794, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:26.795, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:27.934, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:27.936, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:27.937, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:27.939, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:27.941, Tesla V100-SXM2-16GB, 0 %, 0 %
